time,X (m/s),Y (m/s),Yaw (rad)
10,76.978981660396,121.092029151149,2.03451557929752
20,76.9044532846866,121.241059209024,2.03451557929752
30,76.8299380337167,121.39006302212,2.03451557929752
40,76.7554334466071,121.539045511315,2.03451557929752
50,76.6809356040581,121.688014513805,2.03451557929752
60,76.6064418164802,121.836975407805,2.03451557929752
70,76.5319505227508,121.985931315001,2.03451557929752
80,76.4574606622778,122.134884356197,2.03451557929752
90,76.3829716984228,122.283835604479,2.03451557929752
100,76.3084838778475,122.432784566611,2.03451557929752
110,76.2339985453217,122.581728553535,2.03451557929752
120,76.159517702064,122.73066356353,2.03451557929752
130,76.0850431254667,122.87958604245,2.03451557929752
140,76.0105774911488,123.028490640013,2.03451557929752
150,75.936123449499,123.177372056392,2.03451557929752
160,75.8616832742817,123.326225744873,2.03451557929752
170,75.7872586772601,123.475048282542,2.03451557929752
180,75.7128511000474,123.623836786689,2.03451557929752
190,75.6384618202167,123.772588702625,2.03451557929752
200,75.5640920013619,123.92130170358,2.03451557929752
210,75.4897427819747,124.069973512978,2.03451557929752
220,75.4154152922427,124.218601870848,2.03451557929752
230,75.3411106901854,124.367184461567,2.03451557929752
240,75.2668301776825,124.515718881805,2.03451557929752
250,75.1925750110095,124.664202619461,2.03451557929752
260,75.1183465124926,124.812633030356,2.03451557929752
270,75.0441458679499,124.961007743279,2.03451557929752
280,74.969973650389,125.109325612421,2.03451557929752
290,74.8958304030976,125.257585551399,2.03451557929752
300,74.8217167208629,125.405786370853,2.03451557929752
310,74.7476332438704,125.553926790642,2.03451557929752
320,74.6735806833196,125.70200538862,2.03451557929752
330,74.5995599443666,125.8500203548,2.03451557929752
340,74.5255722154276,125.997969312775,2.03451557929752
350,74.4516189232798,126.145849409502,2.03451557929752
360,74.3777017417307,126.293657297965,2.03451557929752
370,74.3038224223621,126.441389475628,2.03451557929752
380,74.2299825799293,126.589042713558,2.03451557929752
390,74.1561829396647,126.736615561552,2.03451557929752
400,74.0824227855314,126.884109451425,2.03451557929752
410,74.0086983669681,127.031531882958,2.03451557929752
420,73.9350031324347,127.178895956883,2.03451557929752
430,73.8613299109286,127.326216012638,2.03451557929752
440,73.7876688317902,127.473511788007,2.03451557929752
450,73.7140120347861,127.620799000641,2.03451557929752
460,73.64035692674,127.768082835964,2.03451557929752
470,73.5667006255162,127.915369057215,2.03451557929752
480,73.4930371129448,128.062669698578,2.03451557929752
490,73.4193607074082,128.209996121254,2.03451557929752
500,73.3456665110014,128.357358119298,2.03451557929752
510,73.2719497699747,128.504765198507,2.03451557929752
520,73.1982068240712,128.652224678084,2.03451557929752
530,73.1244359395481,128.799740024894,2.03451557929752
540,73.0506368283061,128.947311815031,2.03451557929752
550,72.9768096700149,129.094939689222,2.03451557929752
560,72.9029550935344,129.24262238997,2.03451557929752
570,72.8290740698463,129.390357975662,2.03451557929752
580,72.7551678407396,129.538143963163,2.03451557929752
590,72.6812378455241,129.685977474369,2.03451557929752
600,72.6072856549996,129.833855368244,2.03451557929752
610,72.5333132131829,129.98177375745,2.03451557929752
620,72.4593229649899,130.129727753031,2.03451557929752
630,72.3853171519218,130.277712872787,2.03451557929752
640,72.3112979359191,130.425724793612,2.03451557929752
650,72.2372672792228,130.573759591726,2.03451557929752
660,72.1632268571823,130.721813917031,2.03451557929752
670,72.0891780299766,130.869885049656,2.03451557929752
680,72.0151220391509,131.017970506956,2.03451557929752
690,71.9410600214885,131.16606801577,2.03451557929752
700,71.8669929897349,131.314175550971,2.03451557929752
710,71.792921880219,131.462291240235,2.03451557929752
720,71.7188475832738,131.610413303217,2.03451557929752
730,71.6447708920115,131.758540153976,2.03451557929752
740,71.5706926150131,131.906670175638,2.03451557929752
750,71.4966136737771,132.054801525538,2.03451557929752
760,71.4225348096407,132.202932721266,2.03451557929752
770,71.3484566204408,132.351062567364,2.03451557929752
780,71.2743795738004,132.499190128751,2.03451557929752
790,71.200304028496,132.647314688004,2.03451557929752
